ward_id,population,average_household_income,growth_related,state_of_good_repair,service_improvement,total_building_permits
1,115120,95200,185989,7696.93,29118.51,15
2,117200,146600,346605,22185,504047,41
3,139920,127200,451159.9,38290.1,820980.4,120
4,104715,127200,686869,33492.9,28847.73,57
5,115675,88700,292904.5,49449,45613,35
6,107355,107500,127709,42901.9,15463,35
7,111200,85700,411707,30810.5,58140,18
8,114820,176400,465427,77975.9,79557,113
9,104730,107300,341390,3313,47777,83
10,135400,118200,1248002,967091.8,650467.95,77
11,102385,174800,589477.4,183695.2,2598891,17
12,114095,160400,143861,89012,62331,54
13,116930,89400,323448.2,213702.6,2385144,23
14,104555,130800,842641,91821.08,34485.75,63
15,101025,224800,24963,10174,28981,297
16,94335,100300,75290,19089.01,476724,89
17,112590,103800,249958,14901.82,8589,50
18,117130,106300,189921,77680.67,5390,162
19,108500,130600,121214,18792,174075.56,58
20,110095,102200,196274,33357,27310.5,55
21,111560,91500,251701.5,152903.25,51366.5,34
22,103690,93000,36577,1844.39,39115,17
23,94025,100000,514215,1974.5,13604,4
24,102755,92700,241768,13506.2,24300,9
25,101485,121800,292298.4,299609,73555,29
